item,arm,layer,readout,value
fact06,neutral,9,full,-13.209508895874023
fact06,enact_norecord,9,full,-15.597651481628418
refusal01,enact,9,full,-12.984861373901367
refusal01,report,9,full,-13.773720741271973
refusal01,exit,9,full,-13.681148529052734
refusal01,true,9,full,-14.200555801391602
refusal01,neutral,9,full,-13.094733238220215
refusal01,enact_norecord,9,full,-14.392191886901855
refusal02,enact,9,full,-12.152409553527832
refusal02,report,9,full,-13.617344856262207
refusal02,exit,9,full,-12.389824867248535
refusal02,true,9,full,-12.678516387939453
refusal02,neutral,9,full,-12.463582992553711
refusal02,enact_norecord,9,full,-13.989483833312988
refusal03,enact,9,full,-12.91850471496582
refusal03,report,9,full,-13.985367774963379
refusal03,exit,9,full,-12.990793228149414
refusal03,true,9,full,-13.013849258422852
refusal03,neutral,9,full,-12.9989652633667
refusal03,enact_norecord,9,full,-13.84434986114502
refusal04,enact,9,full,-11.613582611083984
refusal04,report,9,full,-12.73650074005127
refusal04,exit,9,full,-11.817911148071289
refusal04,true,9,full,-11.710230827331543
refusal04,neutral,9,full,-11.641988754272461
refusal04,enact_norecord,9,full,-13.988594055175781
refusal05,enact,9,full,-13.49909782409668
refusal05,report,9,full,-14.415783882141113
refusal05,exit,9,full,-13.346774101257324
refusal05,true,9,full,-12.145903587341309
refusal05,neutral,9,full,-13.44417953491211
refusal05,enact_norecord,9,full,-14.75715446472168
refusal06,enact,9,full,-13.213720321655273
refusal06,report,9,full,-13.806761741638184
refusal06,exit,9,full,-13.347892761230469
refusal06,true,9,full,-11.78856372833252
refusal06,neutral,9,full,-12.200983047485352
refusal06,enact_norecord,9,full,-15.552410125732422
stance01,enact,9,full,-13.03477954864502
stance01,report,9,full,-13.166348457336426
stance01,exit,9,full,-13.214683532714844
stance01,true,9,full,-12.363131523132324
stance01,neutral,9,full,-13.250024795532227
stance01,enact_norecord,9,full,-16.441862106323242
stance02,enact,9,full,-13.309871673583984
stance02,report,9,full,-14.618213653564453
stance02,exit,9,full,-13.708903312683105
stance02,true,9,full,-12.924904823303223
stance02,neutral,9,full,-13.491127014160156
stance02,enact_norecord,9,full,-16.25739860534668
stance03,enact,9,full,-11.765813827514648
stance03,report,9,full,-14.169018745422363
stance03,exit,9,full,-13.79519271850586
stance03,true,9,full,-12.08283805847168
stance03,neutral,9,full,-12.846067428588867
stance03,enact_norecord,9,full,-14.141462326049805
stance04,enact,9,full,-12.120543479919434
stance04,report,9,full,-12.975013732910156
stance04,exit,9,full,-13.45433235168457
stance04,true,9,full,-12.160017967224121
stance04,neutral,9,full,-13.155029296875
stance04,enact_norecord,9,full,-15.25593090057373
stance05,enact,9,full,-13.685489654541016
stance05,report,9,full,-14.962457656860352
stance05,exit,9,full,-13.427607536315918
stance05,true,9,full,-12.981812477111816
stance05,neutral,9,full,-13.673633575439453
stance05,enact_norecord,9,full,-15.408114433288574
stance06,enact,9,full,-13.449087142944336
stance06,report,9,full,-14.147151947021484
stance06,exit,9,full,-14.238492965698242
stance06,true,9,full,-12.99713134765625
stance06,neutral,9,full,-12.564545631408691
stance06,enact_norecord,9,full,-15.819660186767578
